X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,Y
0.506726011,0.057530695,0.627579986,0.132552527,0.13108515,0.788544007,0.506686111,0.412826076,0.578008697,0.48817441,0.335963884,0.140816273,0.891442474,0.086311661,0.847512225,0.529615617,0.550260776,0.848461094,0.15899783,0.297996145,0.817808045,0.977897591,0.933133318,0.310414217,0.481330559,0.38278433,0.874249207,0.363504717,0.384864086,0.035155196,0.63464288,0.009076259,0.197091316,0.880822142,0.002329596,0.10950101,0.623105125,0.999236777,0.567151047,0.487938108,0.104855735,0.525416456,0.284065695,0.658452925,0.989522748,0
0.644251422,0.303101279,0.141395345,0.488099454,0.167417586,0.277106078,0.097982297,0.930414903,0.486878355,0.720688459,0.192273149,0.210032263,0.244598374,0.17519978,0.367129655,0.981763227,0.285864535,0.979589839,0.924292225,0.631067154,0.119237734,0.855842239,0.782623255,0.815907843,0.575624008,0.037597967,0.532883374,0.346576623,0.329280455,0.606794327,0.825932027,0.273020947,0.503340342,0.828568016,0.429791527,0.49166513,0.752530952,0.780970068,0.524147571,0.635208015,0.283928215,0.821345337,0.874242756,0.454211241,0.622610973,1
0.267681949,0.726456117,0.379144352,0.345579926,0.694614109,0.585782025,0.844208591,0.662073019,0.590639811,0.612480239,0.258678947,0.413566547,0.797382809,0.431819246,0.034472584,0.581294289,0.28211095,0.856725333,0.352071772,0.801542005,0.862749075,0.000284936,0.793938725,0.29728569,0.441012782,0.294634931,0.841180813,0.80483875,0.311351545,0.171094015,0.205166091,0.76173226,0.854488368,0.685002411,0.097424398,0.016171833,0.910246946,0.805644456,0.549805341,0.943367301,0.285257557,0.148289903,0.812467387,0.036197794,0.383527172,1
0.468619652,0.960791918,0.016412674,0.477820707,0.033164668,0.498425355,0.569024747,0.075024356,0.847374043,0.935494666,0.027728282,0.861926298,0.835484499,0.523067916,0.040499019,0.195563523,0.2045978,0.845920037,0.958715993,0.484845671,0.043919835,0.235449845,0.093246997,0.866200389,0.43991728,0.047735214,0.680446805,0.361432969,0.644187789,0.51657181,0.446747222,0.478070393,0.065841335,0.065477203,0.081702611,0.193381236,0.688658842,0.081220173,0.907409087,0.004015151,0.273058094,0.879008145,0.417899612,0.303821963,0.204107063,1
0.612979521,0.934144494,0.626216944,0.611920165,0.754310609,0.670250939,0.323609919,0.85431951,0.359688725,0.99376364,0.317867197,0.008973737,0.931623806,0.391445141,0.938891309,0.612641902,0.494091025,0.900568407,0.400668048,0.899575371,0.507465556,0.169030907,0.531865184,0.647689554,0.260791543,0.392744563,0.71218935,0.403981967,0.157879933,0.886887929,0.359676816,0.79999835,0.349480993,0.593815981,0.119496881,0.909827974,0.887467452,0.810771405,0.824585321,0.172773715,0.275786254,0.103206387,0.903027327,0.450186101,0.73910591,1
0.000667893,0.711468135,0.591436693,0.121576703,0.065149168,0.438528571,0.377142708,0.080945763,0.355868987,0.179726225,0.546146465,0.300036987,0.80780142,0.642974837,0.634672697,0.340673625,0.566046789,0.97934398,0.435628812,0.872315545,0.91158177,0.058477084,0.609864928,0.522443684,0.433579669,0.768069288,0.753171742,0.821332621,0.342286811,0.968685291,0.895775993,0.854632784,0.297570401,0.155152595,0.772619852,0.454590726,0.885803558,0.531563575,0.680793332,0.06985272,0.445073258,0.707051709,0.729375751,0.361709028,0.734635854,1
0.763510635,0.565126305,0.779177184,0.316999561,0.937739132,0.068148694,0.922797123,0.21037022,0.39639547,0.43956019,0.072846674,0.338242598,0.605286973,0.794004138,0.486475264,0.100564109,0.732128076,0.181018593,0.280438172,0.999530862,0.242583987,0.561174929,0.976214626,0.560641245,0.228284148,0.880732876,0.481312192,0.585456954,0.679809262,0.698678046,0.695812246,0.826902968,0.650667674,0.532566919,0.780887379,0.513437283,0.880972934,0.834208973,0.655279009,0.90074915,0.789404693,0.520943314,0.378640574,0.025039242,0.894621037,1
0.935150972,0.593251644,0.07154135,0.323130114,0.782263786,0.587238232,0.086630976,0.045787089,0.17462667,0.374854465,0.51786306,0.790012328,0.017985925,0.928631869,0.308890225,0.749663638,0.604769487,0.394422562,0.246401444,0.713270044,0.95915067,0.347012352,0.984401711,0.976586393,0.491196728,0.649819591,0.664581117,0.051358441,0.639028252,0.514549439,0.895226588,0.087165945,0.627839051,0.959880928,0.97426702,0.122384112,0.925675076,0.296301585,0.954705385,0.776023192,0.470979338,0.397706644,0.593457698,0.199450444,0.137757195,1
0.205561895,0.144870922,0.402001962,0.230218852,0.969591045,0.189673767,0.244937719,0.011320788,0.121223343,0.504810999,0.601395776,0.462243725,0.768954863,0.624781556,0.109813533,0.102203415,0.57363907,0.942563282,0.171317784,0.100149755,0.474776639,0.714692832,0.469566644,0.989699271,0.864260617,0.524048469,0.103409919,0.639082558,0.486722072,0.971479315,0.863736594,0.092518818,0.717578242,0.182741515,0.853151757,0.111695001,0.956568191,0.920965876,0.174317727,0.248680271,0.671929082,0.490847238,0.17493736,0.43104498,0.795145709,1
0.13625482,0.007019004,0.758128694,0.403818753,0.056040716,0.031308112,0.292664659,0.012874064,0.879142108,0.641621863,0.625506263,0.309471427,0.070861709,0.754965683,0.16242313,0.754554086,0.082130154,0.667840409,0.762517184,0.678683829,0.521196734,0.807175583,0.547996863,0.530385024,0.799566055,0.557471196,0.074234801,0.206312221,0.161594705,0.899350249,0.423671409,0.213632609,0.472021051,0.52553507,0.232618742,0.906019823,0.015177006,0.733560728,0.262556774,0.602619221,0.65189291,0.104123818,0.326242429,0.293565828,0.817567735,0
0.931265381,0.986107616,0.841326217,0.437193203,0.102476279,0.959451915,0.576567715,0.754278825,0.258619586,0.00834047,0.373686708,0.194656449,0.258027772,0.396667368,0.488180421,0.927650888,0.116050417,0.939534471,0.687922716,0.237432078,0.632522999,0.462827156,0.340510752,0.572096808,0.171674258,0.320407795,0.199953314,0.161577935,0.402861336,0.090555403,0.163330789,0.978404946,0.311466123,0.454271668,0.622664528,0.980592732,0.883294539,0.909407678,0.048043854,0.299058376,0.07807965,0.619522343,0.705671097,0.514130603,0.019596485,0
0.339396628,0.646834873,0.753848664,0.756365131,0.743921492,0.898923753,0.418095081,0.212214602,0.79625792,0.721854625,0.177736313,0.442925142,0.234429149,0.204982556,0.588638913,0.143180656,0.694679955,0.491733792,0.505248084,0.12557313,0.358359562,0.949137611,0.100376513,0.893843025,0.877979086,0.755708384,0.340979524,0.711795138,0.437240816,0.77128428,0.219069982,0.321337079,0.719200225,0.330982826,0.300327229,0.472184727,0.930798357,0.105548246,0.231423911,0.927811963,0.677747516,0.074258007,0.22782399,0.527156459,0.507706945,1
0.234549049,0.851983442,0.992294693,0.742581754,0.460510591,0.943541278,0.693847292,0.334555489,0.530066754,0.773963151,0.305189003,0.511334192,0.870753736,0.68546547,0.849507341,0.590993844,0.813968871,0.249353999,0.689321989,0.795214016,0.607852964,0.43045353,0.487546793,0.049984958,0.969869214,0.855074701,0.446931174,0.829660221,0.489107229,0.23805792,0.519619973,0.592202878,0.60144615,0.821902072,0.219803177,0.036663616,0.317340585,0.66186855,0.827811448,0.141780916,0.934079854,0.194692668,0.946835945,0.556126561,0.334351113,1
